EarthquakeKey,EarthquakeID,Year_Index,Month_Index,StationName,SiteClass,log_Pa,log_Pv,log_Pd,log_PGV
2019p851837MOSS,2019p851837,7,11,MOSS,C,-5.657372,-9.989045,-13.479038,-8.830179
2017p330978MOSS,2017p330978,5,5,MOSS,C,-7.528161,-11.529055,-14.664143,-9.919617
2019p270211HAZ,2019p270211,7,4,HAZ,C,-6.036996,-9.8377,-13.5007,-10.226451
2022p682452HAZ,2022p682452,10,9,HAZ,C,-6.242339,-10.020021,-13.861554,-9.57131
2021p183617MOSS,2021p183617,9,3,MOSS,C,-5.806029,-10.549751,-14.10854,-8.840295
2022p391332MOLS,2022p391332,10,5,MOLS,C,-7.205942,-11.297814,-15.081359,-9.793737
2022p391332INGS,2022p391332,10,5,INGS,C,-6.05358,-10.572918,-15.009533,-9.790159
2022p391332RDCS,2022p391332,10,5,RDCS,C,-5.894881,-9.484777,-14.486896,-8.577023
2020p122422WAZ,2020p122422,8,2,WAZ,C,-6.146064,-9.597475,-13.117376,-8.275852
2020p803954HAZ,2020p803954,8,10,HAZ,C,-5.049284,-8.987173,-12.493755,-7.952468
2019p307625HAZ,2019p307625,7,4,HAZ,C,-5.809282,-9.897505,-13.693293,-8.765039
2017p743137HAZ,2017p743137,5,10,HAZ,C,-7.75476,-9.832098,-12.387595,-10.068362
2022p864121HAZ,2022p864121,10,11,HAZ,C,-8.211641,-12.03044,-15.587467,-10.850237
2018p873465HAZ,2018p873465,6,11,HAZ,C,-7.393802,-11.70894,-15.450266,-9.90549
2020p365026MOSS,2020p365026,8,5,MOSS,C,-5.287251,-9.642663,-13.255895,-8.03481
2022p816171RDCS,2022p816171,10,10,RDCS,C,-3.64746,-7.520036,-10.892349,-6.130261
2022p816171MOLS,2022p816171,10,10,MOLS,C,-3.747318,-7.188339,-10.809828,-6.362303
2020p214087EKTS,2020p214087,8,3,EKTS,C,-6.258808,-10.343544,-14.576937,-8.689358
2019p592035MOSS,2019p592035,7,8,MOSS,C,-6.006146,-10.394511,-14.137094,-8.883695
2017p894783WAZ,2017p894783,5,11,WAZ,C,-5.474723,-9.899496,-13.302687,-8.618313
2019p384331MOSS,2019p384331,7,5,MOSS,C,-6.72245,-11.227747,-15.084911,-9.826527
2017p943545MKVS,2017p943545,5,12,MKVS,C,-5.931395,-10.19117,-13.302687,-9.182861
2022p120574HAZ,2022p120574,10,2,HAZ,C,-6.932914,-10.994132,-14.598582,-9.443534
2020p807186MOSS,2020p807186,8,10,MOSS,C,-6.526851,-10.95904,-14.54948,-9.875872
2021p900254MOSS,2021p900254,9,11,MOSS,C,-7.083615,-11.06185,-14.69018,-9.897505
2018p873665HAZ,2018p873665,6,11,HAZ,C,-8.908578,-12.612538,-14.906155,-11.114149
2015p469485WAZ,2015p469485,3,6,WAZ,C,-7.566924,-11.483367,-15.110138,-9.561317
2019p851487MOLS,2019p851487,7,11,MOLS,C,-7.322165,-11.746119,-15.55848,-9.338174
2019p851487KHZ,2019p851487,7,11,KHZ,C,-8.540058,-13.092805,-15.796012,-12.134683
2022p181390HAZ,2022p181390,10,3,HAZ,C,-3.292735,-6.571815,-9.848999,-5.428578
2019p643854HAZ,2019p643854,7,8,HAZ,C,-4.632421,-7.813625,-11.338972,-6.423059
2018p140306MOSS,2018p140306,6,2,MOSS,C,-8.657168,-12.327111,-14.668826,-10.592643
2022p655750MOSS,2022p655750,10,8,MOSS,C,-7.148617,-11.297814,-14.79634,-10.95331
2013p138952MKVS,2013p138952,1,2,MKVS,C,-6.230444,-10.19117,-13.178934,-8.944091
2014p379150MKVS,2014p379150,2,5,MKVS,C,-4.570908,-8.708451,-12.65549,-8.534238
2017p479750DSZ,2017p479750,5,6,DSZ,C,-7.197685,-11.502975,-15.081359,-10.814791
2018p759340MOSS,2018p759340,6,10,MOSS,C,-6.546542,-10.756803,-14.022535,-9.109084
2013p124596MKVS,2013p124596,1,2,MKVS,C,-6.416413,-10.280365,-13.216674,-8.702439
2022p459142HAZ,2022p459142,10,6,HAZ,C,-6.205086,-10.085009,-13.89998,-8.317523
2015p550112HAZ,2015p550112,3,7,HAZ,C,-6.828434,-10.775761,-14.246293,-8.443316
2015p619669HAZ,2015p619669,3,8,HAZ,C,-6.054773,-10.18585,-13.839803,-8.984082
